Appliances,T_out,RH_out,Windspeed,T1,RH_1,T2,RH_2,hour,day_of_week,month,is_weekend
60,6.6,92.0,7.0,19.89,47.59666666666671,19.2,44.79,17,0,1,0
60,6.48333333333333,92.0,6.66666666666667,19.89,46.69333333333329,19.2,44.7225,17,0,1,0
50,6.36666666666667,92.0,6.3333333333333295,19.89,46.3,19.2,44.6266666666667,17,0,1,0
50,6.25,92.0,6.0,19.89,46.0666666666667,19.2,44.59,17,0,1,0
60,6.133333333333329,92.0,5.66666666666667,19.89,46.33333333333329,19.2,44.53,17,0,1,0
50,6.01666666666667,92.0,5.3333333333333295,19.89,46.0266666666667,19.2,44.5,17,0,1,0
60,5.9,92.0,5.0,19.89,45.7666666666667,19.2,44.5,18,0,1,0
60,5.91666666666667,91.8333333333333,5.16666666666667,19.8566666666667,45.56,19.2,44.5,18,0,1,0
60,5.93333333333333,91.6666666666667,5.3333333333333295,19.79,45.5975,19.2,44.433333333333294,18,0,1,0
70,5.95,91.5,5.5,19.8566666666667,46.09,19.23,44.4,18,0,1,0
230,5.96666666666667,91.3333333333333,5.66666666666667,19.9266666666667,45.863333333333294,19.3566666666667,44.4,18,0,1,0
580,5.98333333333333,91.1666666666667,5.8333333333333295,20.066666666666695,46.3966666666667,19.4266666666667,44.4,18,0,1,0
430,6.0,91.0,6.0,20.1333333333333,48.0,19.566666666666695,44.4,19,0,1,0
250,6.0,90.5,6.0,20.26,52.7266666666667,19.73,45.1,19,0,1,0
100,6.0,90.0,6.0,20.4266666666667,55.893333333333295,19.8566666666667,45.83333333333329,19,0,1,0
100,6.0,89.5,6.0,20.566666666666695,53.893333333333295,20.033333333333296,46.7566666666667,19,0,1,0
90,6.0,89.0,6.0,20.73,52.66,20.1666666666667,47.223333333333294,19,0,1,0
70,6.0,88.5,6.0,20.8566666666667,53.66,20.2,47.05666666666671,19,0,1,0
80,6.0,88.0,6.0,20.89,51.19333333333329,20.2,46.33,20,0,1,0
140,6.0,87.8333333333333,6.0,20.89,49.8,20.2,46.0266666666667,20,0,1,0
120,6.0,87.6666666666667,6.0,20.89,48.433333333333294,20.2,45.7225,20,0,1,0
190,6.0,87.5,6.0,20.963333333333296,47.6333333333333,20.26,45.53,20,0,1,0
110,6.0,87.3333333333333,6.0,21.033333333333296,47.0633333333333,20.29,45.223333333333294,20,0,1,0
110,6.0,87.1666666666667,6.0,21.1,46.59666666666671,20.3566666666667,44.963333333333296,20,0,1,0
110,6.0,87.0,6.0,21.1333333333333,46.06,20.4266666666667,44.76,21,0,1,0
110,5.93333333333333,87.1666666666667,6.0,21.2,45.8,20.5,44.76,21,0,1,0
100,5.86666666666667,87.3333333333333,6.0,21.29,45.9,20.533333333333296,45.09,21,0,1,0
100,5.8,87.5,6.0,21.3566666666667,45.8266666666667,20.6666666666667,45.1633333333333,21,0,1,0
100,5.73333333333333,87.6666666666667,6.0,21.39,45.69,20.7,45.06,21,0,1,0
100,5.66666666666667,87.8333333333333,6.0,21.5,45.33333333333329,20.7,44.933333333333294,21,0,1,0
110,5.6,88.0,6.0,21.5,45.1266666666667,20.79,44.6333333333333,22,0,1,0
400,5.65,87.8333333333333,6.16666666666667,21.533333333333296,44.9666666666667,20.79,44.36,22,0,1,0
400,5.7,87.6666666666667,6.3333333333333295,21.6,44.7666666666667,20.89,44.223333333333294,22,0,1,0
390,5.75,87.5,6.5,21.6,44.56,20.963333333333296,43.963333333333296,22,0,1,0
240,5.8,87.3333333333333,6.66666666666667,21.6,44.36,21.0,43.83333333333329,22,0,1,0
60,5.85,87.1666666666667,6.8333333333333295,21.6,44.2,21.0,43.7,22,0,1,0
60,5.9,87.0,7.0,21.6,44.2,21.0,43.59,23,0,1,0
60,5.8,87.8333333333333,6.8333333333333295,21.6,44.2,21.0,43.59,23,0,1,0
50,5.7,88.6666666666667,6.66666666666667,21.6,44.2,21.0,43.7,23,0,1,0
70,5.6,89.5,6.5,21.5,44.23,20.9266666666667,43.76,23,0,1,0
